id,stained,unstained
AS-7231-22-Z17_30720_60416,Dataset/Data/unstained/AS-7231-22-Z17_patch_30720_60416_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_30720_60416_unstained.tif
AS-7231-22-Z17_34816_27648,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_27648_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_27648_unstained.tif
AS-5198-23-Z35_21504_45056,Dataset/Data/stained/AS-5198-23-Z35_patch_21504_45056_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_21504_45056_unstained.tif
AS-7231-22-Z17_29696_59392,Dataset/Data/unstained/AS-7231-22-Z17_patch_29696_59392_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_29696_59392_unstained.tif
AS-5198-23-Z35_27648_16384,Dataset/Data/stained/AS-5198-23-Z35_patch_27648_16384_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_27648_16384_unstained.tif
AS-7231-22-Z17_31744_45056,Dataset/Data/unstained/AS-7231-22-Z17_patch_31744_45056_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_31744_45056_unstained.tif
AS-5198-23-Z36_29696_50176,Dataset/Data/stained/AS-5198-23-Z36_patch_29696_50176_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_29696_50176_unstained.tif
AS-5198-23-Z35_14336_29696,Dataset/Data/stained/AS-5198-23-Z35_patch_14336_29696_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_14336_29696_unstained.tif
AS-5198-23-Z35_27648_24576,Dataset/Data/stained/AS-5198-23-Z35_patch_27648_24576_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_27648_24576_unstained.tif
AS-7231-22-Z17_38912_58368,Dataset/Data/unstained/AS-7231-22-Z17_patch_38912_58368_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_38912_58368_unstained.tif
AS-7231-22-Z17_29696_56320,Dataset/Data/unstained/AS-7231-22-Z17_patch_29696_56320_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_29696_56320_unstained.tif
AS-5198-23-Z36_30720_36864,Dataset/Data/stained/AS-5198-23-Z36_patch_30720_36864_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_30720_36864_unstained.tif
AS-7231-22-Z17_29696_40960,Dataset/Data/unstained/AS-7231-22-Z17_patch_29696_40960_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_29696_40960_unstained.tif
AS-5198-23-Z36_30720_39936,Dataset/Data/stained/AS-5198-23-Z36_patch_30720_39936_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_30720_39936_unstained.tif
AS-7231-22-Z17_32768_49152,Dataset/Data/unstained/AS-7231-22-Z17_patch_32768_49152_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_32768_49152_unstained.tif
AS-5198-23-Z35_23552_14336,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_14336_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_14336_unstained.tif
AS-5198-23-Z35_21504_30720,Dataset/Data/stained/AS-5198-23-Z35_patch_21504_30720_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_21504_30720_unstained.tif
AS-7231-22-Z17_36864_34816,Dataset/Data/unstained/AS-7231-22-Z17_patch_36864_34816_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_36864_34816_unstained.tif
AS-5198-23-Z36_29696_28672,Dataset/Data/stained/AS-5198-23-Z36_patch_29696_28672_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_29696_28672_unstained.tif
AS-7231-22-Z17_39936_74752,Dataset/Data/unstained/AS-7231-22-Z17_patch_39936_74752_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_39936_74752_unstained.tif
AS-5198-23-Z35_20480_17408,Dataset/Data/stained/AS-5198-23-Z35_patch_20480_17408_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_20480_17408_unstained.tif
AS-7231-22-Z17_40960_66560,Dataset/Data/unstained/AS-7231-22-Z17_patch_40960_66560_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_40960_66560_unstained.tif
AS-5198-23-Z35_23552_25600,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_25600_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_25600_unstained.tif
AS-5198-23-Z35_26624_13312,Dataset/Data/stained/AS-5198-23-Z35_patch_26624_13312_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_26624_13312_unstained.tif
AS-7231-22-Z17_38912_59392,Dataset/Data/unstained/AS-7231-22-Z17_patch_38912_59392_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_38912_59392_unstained.tif
AS-5198-23-Z35_19456_25600,Dataset/Data/stained/AS-5198-23-Z35_patch_19456_25600_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_19456_25600_unstained.tif
AS-5198-23-Z35_26624_31744,Dataset/Data/stained/AS-5198-23-Z35_patch_26624_31744_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_26624_31744_unstained.tif
AS-5198-23-Z35_21504_43008,Dataset/Data/stained/AS-5198-23-Z35_patch_21504_43008_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_21504_43008_unstained.tif
AS-5198-23-Z35_26624_40960,Dataset/Data/stained/AS-5198-23-Z35_patch_26624_40960_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_26624_40960_unstained.tif
AS-7231-22-Z17_38912_60416,Dataset/Data/unstained/AS-7231-22-Z17_patch_38912_60416_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_38912_60416_unstained.tif
AS-5198-23-Z35_27648_34816,Dataset/Data/stained/AS-5198-23-Z35_patch_27648_34816_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_27648_34816_unstained.tif
AS-5198-23-Z35_22528_22528,Dataset/Data/stained/AS-5198-23-Z35_patch_22528_22528_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_22528_22528_unstained.tif
AS-7231-22-Z17_34816_24576,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_24576_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_24576_unstained.tif
AS-7231-22-Z17_36864_23552,Dataset/Data/unstained/AS-7231-22-Z17_patch_36864_23552_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_36864_23552_unstained.tif
AS-5198-23-Z35_22528_11264,Dataset/Data/stained/AS-5198-23-Z35_patch_22528_11264_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_22528_11264_unstained.tif
AS-5198-23-Z36_28672_57344,Dataset/Data/stained/AS-5198-23-Z36_patch_28672_57344_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_28672_57344_unstained.tif
AS-5198-23-Z35_22528_43008,Dataset/Data/stained/AS-5198-23-Z35_patch_22528_43008_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_22528_43008_unstained.tif
AS-5198-23-Z35_17408_23552,Dataset/Data/stained/AS-5198-23-Z35_patch_17408_23552_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_17408_23552_unstained.tif
AS-7231-22-Z17_30720_28672,Dataset/Data/unstained/AS-7231-22-Z17_patch_30720_28672_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_30720_28672_unstained.tif
AS-5198-23-Z35_23552_37888,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_37888_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_37888_unstained.tif
AS-5198-23-Z36_28672_36864,Dataset/Data/stained/AS-5198-23-Z36_patch_28672_36864_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_28672_36864_unstained.tif
AS-7231-22-Z17_32768_46080,Dataset/Data/unstained/AS-7231-22-Z17_patch_32768_46080_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_32768_46080_unstained.tif
AS-5198-23-Z35_23552_11264,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_11264_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_11264_unstained.tif
AS-5198-23-Z36_30720_51200,Dataset/Data/stained/AS-5198-23-Z36_patch_30720_51200_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_30720_51200_unstained.tif
AS-5198-23-Z35_22528_18432,Dataset/Data/stained/AS-5198-23-Z35_patch_22528_18432_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_22528_18432_unstained.tif
AS-5198-23-Z35_23552_15360,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_15360_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_15360_unstained.tif
AS-5198-23-Z35_15360_28672,Dataset/Data/stained/AS-5198-23-Z35_patch_15360_28672_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_15360_28672_unstained.tif
AS-7231-22-Z17_36864_38912,Dataset/Data/unstained/AS-7231-22-Z17_patch_36864_38912_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_36864_38912_unstained.tif
AS-7231-22-Z17_34816_72704,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_72704_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_72704_unstained.tif
AS-5198-23-Z35_19456_29696,Dataset/Data/stained/AS-5198-23-Z35_patch_19456_29696_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_19456_29696_unstained.tif
AS-7231-22-Z17_33792_59392,Dataset/Data/unstained/AS-7231-22-Z17_patch_33792_59392_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_33792_59392_unstained.tif
AS-5198-23-Z36_28672_64512,Dataset/Data/stained/AS-5198-23-Z36_patch_28672_64512_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_28672_64512_unstained.tif
AS-5198-23-Z35_25600_14336,Dataset/Data/stained/AS-5198-23-Z35_patch_25600_14336_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_25600_14336_unstained.tif
AS-5198-23-Z35_22528_23552,Dataset/Data/stained/AS-5198-23-Z35_patch_22528_23552_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_22528_23552_unstained.tif
AS-7231-22-Z17_35840_64512,Dataset/Data/unstained/AS-7231-22-Z17_patch_35840_64512_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_35840_64512_unstained.tif
AS-5198-23-Z35_24576_47104,Dataset/Data/stained/AS-5198-23-Z35_patch_24576_47104_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_24576_47104_unstained.tif
AS-5198-23-Z35_24576_32768,Dataset/Data/stained/AS-5198-23-Z35_patch_24576_32768_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_24576_32768_unstained.tif
AS-7231-22-Z17_44032_73728,Dataset/Data/unstained/AS-7231-22-Z17_patch_44032_73728_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_44032_73728_unstained.tif
AS-7231-22-Z17_43008_71680,Dataset/Data/unstained/AS-7231-22-Z17_patch_43008_71680_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_43008_71680_unstained.tif
AS-5198-23-Z35_21504_44032,Dataset/Data/stained/AS-5198-23-Z35_patch_21504_44032_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_21504_44032_unstained.tif
AS-7231-22-Z17_45056_65536,Dataset/Data/unstained/AS-7231-22-Z17_patch_45056_65536_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_45056_65536_unstained.tif
AS-7231-22-Z17_38912_71680,Dataset/Data/unstained/AS-7231-22-Z17_patch_38912_71680_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_38912_71680_unstained.tif
AS-5198-23-Z35_23552_29696,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_29696_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_29696_unstained.tif
AS-5198-23-Z35_17408_36864,Dataset/Data/stained/AS-5198-23-Z35_patch_17408_36864_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_17408_36864_unstained.tif
AS-7231-22-Z17_31744_48128,Dataset/Data/unstained/AS-7231-22-Z17_patch_31744_48128_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_31744_48128_unstained.tif
AS-5198-23-Z35_20480_40960,Dataset/Data/stained/AS-5198-23-Z35_patch_20480_40960_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_20480_40960_unstained.tif
AS-7231-22-Z17_30720_61440,Dataset/Data/unstained/AS-7231-22-Z17_patch_30720_61440_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_30720_61440_unstained.tif
AS-5198-23-Z35_18432_34816,Dataset/Data/stained/AS-5198-23-Z35_patch_18432_34816_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_18432_34816_unstained.tif
AS-7231-22-Z17_43008_70656,Dataset/Data/unstained/AS-7231-22-Z17_patch_43008_70656_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_43008_70656_unstained.tif
AS-5198-23-Z36_29696_51200,Dataset/Data/stained/AS-5198-23-Z36_patch_29696_51200_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_29696_51200_unstained.tif
AS-7231-22-Z17_43008_66560,Dataset/Data/unstained/AS-7231-22-Z17_patch_43008_66560_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_43008_66560_unstained.tif
AS-7231-22-Z17_37888_46080,Dataset/Data/unstained/AS-7231-22-Z17_patch_37888_46080_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_37888_46080_unstained.tif
AS-5198-23-Z35_16384_34816,Dataset/Data/stained/AS-5198-23-Z35_patch_16384_34816_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_16384_34816_unstained.tif
AS-7231-22-Z17_32768_47104,Dataset/Data/unstained/AS-7231-22-Z17_patch_32768_47104_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_32768_47104_unstained.tif
AS-7231-22-Z17_29696_39936,Dataset/Data/unstained/AS-7231-22-Z17_patch_29696_39936_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_29696_39936_unstained.tif
AS-7231-22-Z17_45056_66560,Dataset/Data/unstained/AS-7231-22-Z17_patch_45056_66560_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_45056_66560_unstained.tif
AS-7231-22-Z17_34816_20480,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_20480_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_20480_unstained.tif
AS-7231-22-Z17_39936_71680,Dataset/Data/unstained/AS-7231-22-Z17_patch_39936_71680_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_39936_71680_unstained.tif
AS-5198-23-Z36_26624_26624,Dataset/Data/stained/AS-5198-23-Z36_patch_26624_26624_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_26624_26624_unstained.tif
AS-5198-23-Z35_18432_29696,Dataset/Data/stained/AS-5198-23-Z35_patch_18432_29696_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_18432_29696_unstained.tif
AS-7231-22-Z17_46080_69632,Dataset/Data/unstained/AS-7231-22-Z17_patch_46080_69632_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_46080_69632_unstained.tif
AS-7231-22-Z17_28672_59392,Dataset/Data/unstained/AS-7231-22-Z17_patch_28672_59392_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_28672_59392_unstained.tif
AS-7231-22-Z17_39936_65536,Dataset/Data/unstained/AS-7231-22-Z17_patch_39936_65536_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_39936_65536_unstained.tif
AS-7231-22-Z17_31744_71680,Dataset/Data/unstained/AS-7231-22-Z17_patch_31744_71680_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_31744_71680_unstained.tif
AS-5198-23-Z35_25600_43008,Dataset/Data/stained/AS-5198-23-Z35_patch_25600_43008_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_25600_43008_unstained.tif
AS-7231-22-Z17_29696_46080,Dataset/Data/unstained/AS-7231-22-Z17_patch_29696_46080_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_29696_46080_unstained.tif
AS-7231-22-Z17_34816_36864,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_36864_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_36864_unstained.tif
AS-7231-22-Z17_33792_58368,Dataset/Data/unstained/AS-7231-22-Z17_patch_33792_58368_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_33792_58368_unstained.tif
AS-5198-23-Z36_30720_65536,Dataset/Data/stained/AS-5198-23-Z36_patch_30720_65536_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_30720_65536_unstained.tif
AS-7231-22-Z17_31744_68608,Dataset/Data/unstained/AS-7231-22-Z17_patch_31744_68608_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_31744_68608_unstained.tif
AS-7231-22-Z17_38912_56320,Dataset/Data/unstained/AS-7231-22-Z17_patch_38912_56320_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_38912_56320_unstained.tif
AS-5198-23-Z35_16384_28672,Dataset/Data/stained/AS-5198-23-Z35_patch_16384_28672_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_16384_28672_unstained.tif
AS-7231-22-Z17_34816_41984,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_41984_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_41984_unstained.tif
AS-7231-22-Z17_28672_46080,Dataset/Data/unstained/AS-7231-22-Z17_patch_28672_46080_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_28672_46080_unstained.tif
AS-7231-22-Z17_31744_37888,Dataset/Data/unstained/AS-7231-22-Z17_patch_31744_37888_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_31744_37888_unstained.tif
AS-5198-23-Z36_29696_41984,Dataset/Data/stained/AS-5198-23-Z36_patch_29696_41984_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_29696_41984_unstained.tif
AS-5198-23-Z36_27648_63488,Dataset/Data/stained/AS-5198-23-Z36_patch_27648_63488_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_27648_63488_unstained.tif
AS-5198-23-Z35_19456_39936,Dataset/Data/stained/AS-5198-23-Z35_patch_19456_39936_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_19456_39936_unstained.tif
AS-5198-23-Z35_18432_39936,Dataset/Data/stained/AS-5198-23-Z35_patch_18432_39936_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_18432_39936_unstained.tif
AS-5198-23-Z36_29696_46080,Dataset/Data/stained/AS-5198-23-Z36_patch_29696_46080_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_29696_46080_unstained.tif
AS-5198-23-Z35_26624_11264,Dataset/Data/stained/AS-5198-23-Z35_patch_26624_11264_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_26624_11264_unstained.tif
AS-5198-23-Z35_26624_25600,Dataset/Data/stained/AS-5198-23-Z35_patch_26624_25600_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_26624_25600_unstained.tif
AS-5198-23-Z36_27648_41984,Dataset/Data/stained/AS-5198-23-Z36_patch_27648_41984_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_27648_41984_unstained.tif
AS-5198-23-Z36_27648_35840,Dataset/Data/stained/AS-5198-23-Z36_patch_27648_35840_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_27648_35840_unstained.tif
AS-5198-23-Z36_29696_65536,Dataset/Data/stained/AS-5198-23-Z36_patch_29696_65536_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_29696_65536_unstained.tif
AS-5198-23-Z35_26624_18432,Dataset/Data/stained/AS-5198-23-Z35_patch_26624_18432_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_26624_18432_unstained.tif
AS-5198-23-Z35_15360_34816,Dataset/Data/stained/AS-5198-23-Z35_patch_15360_34816_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_15360_34816_unstained.tif
AS-5198-23-Z35_23552_26624,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_26624_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_26624_unstained.tif
AS-5198-23-Z36_28672_24576,Dataset/Data/stained/AS-5198-23-Z36_patch_28672_24576_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_28672_24576_unstained.tif
AS-5198-23-Z36_30720_55296,Dataset/Data/stained/AS-5198-23-Z36_patch_30720_55296_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z36_patch_30720_55296_unstained.tif
AS-7231-22-Z17_31744_53248,Dataset/Data/unstained/AS-7231-22-Z17_patch_31744_53248_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_31744_53248_unstained.tif
AS-5198-23-Z35_24576_35840,Dataset/Data/stained/AS-5198-23-Z35_patch_24576_35840_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_24576_35840_unstained.tif
AS-7231-22-Z17_30720_71680,Dataset/Data/unstained/AS-7231-22-Z17_patch_30720_71680_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_30720_71680_unstained.tif
AS-7231-22-Z17_34816_25600,Dataset/Data/unstained/AS-7231-22-Z17_patch_34816_25600_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_34816_25600_unstained.tif
AS-7231-22-Z17_28672_39936,Dataset/Data/unstained/AS-7231-22-Z17_patch_28672_39936_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_28672_39936_unstained.tif
AS-7231-22-Z17_30720_52224,Dataset/Data/unstained/AS-7231-22-Z17_patch_30720_52224_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_30720_52224_unstained.tif
AS-7231-22-Z17_32768_66560,Dataset/Data/unstained/AS-7231-22-Z17_patch_32768_66560_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_32768_66560_unstained.tif
AS-7231-22-Z17_31744_47104,Dataset/Data/unstained/AS-7231-22-Z17_patch_31744_47104_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_31744_47104_unstained.tif
AS-5198-23-Z35_23552_20480,Dataset/Data/stained/AS-5198-23-Z35_patch_23552_20480_stained.tif,Dataset/Data/tes_unstain/AS-5198-23-Z35_patch_23552_20480_unstained.tif
AS-7231-22-Z17_44032_63488,Dataset/Data/unstained/AS-7231-22-Z17_patch_44032_63488_stained.tif,Dataset/Data/tes_stain/AS-7231-22-Z17_patch_44032_63488_unstained.tif
